Timestamp,Class,Confidence,Pos_X,Pos_Y,Altitude_M,Snapshot_File
20260909_132854_062,car,0.51,30.84,23.56,14.08,car_20260909_132854_062.jpg
20260909_132857_494,car,0.48,30.86,24.43,14.05,car_20260909_132857_494.jpg
20260909_132859_892,car,0.58,30.05,25.13,13.99,car_20260909_132859_892.jpg
20260909_132901_517,car,0.51,29.51,26.04,13.92,car_20260909_132901_517.jpg
20260909_132903_620,car,0.53,28.69,27.36,13.88,car_20260909_132903_620.jpg
20260909_132906_012,car,0.48,27.39,29.82,13.80,car_20260909_132906_012.jpg
20260909_132907_615,car,0.54,26.46,31.68,13.73,car_20260909_132907_615.jpg
20260909_132909_230,car,0.73,25.44,33.78,13.71,car_20260909_132909_230.jpg
20260909_132910_853,car,0.84,24.39,35.97,13.70,car_20260909_132910_853.jpg
20260909_132912_417,car,0.49,23.38,38.09,13.69,car_20260909_132912_417.jpg
20260909_140812_434,car,0.65,20.30,35.45,12.72,car_20260909_140812_434.jpg
20260909_140814_040,car,0.58,20.33,34.08,12.77,car_20260909_140814_040.jpg
20260909_140815_723,car,0.61,20.38,33.36,12.73,car_20260909_140815_723.jpg
20260909_140817_502,car,0.71,20.51,32.83,12.71,car_20260909_140817_502.jpg
20260909_140820_354,car,0.47,20.71,31.74,12.68,car_20260909_140820_354.jpg
20260909_140822_879,car,0.53,20.93,30.59,12.63,car_20260909_140822_879.jpg
20260909_140824_769,car,0.64,21.13,29.38,12.54,car_20260909_140824_769.jpg
20260909_140826_473,car,0.64,21.35,27.45,12.40,car_20260909_140826_473.jpg
20260909_140828_087,car,0.55,21.53,25.70,12.34,car_20260909_140828_087.jpg
20260909_140829_993,car,0.76,21.76,23.46,12.20,car_20260909_140829_993.jpg
20260909_140831_515,car,0.66,21.91,21.98,12.09,car_20260909_140831_515.jpg
20260909_140833_883,car,0.61,22.14,19.72,11.91,car_20260909_140833_883.jpg
20260909_140835_649,car,0.65,22.27,18.60,11.85,car_20260909_140835_649.jpg
20260909_140837_425,car,0.56,22.38,17.66,11.78,car_20260909_140837_425.jpg
20260909_140839_462,car,0.46,22.50,16.75,11.73,car_20260909_140839_462.jpg
20260909_140841_208,car,0.60,22.62,16.03,11.69,car_20260909_140841_208.jpg
20260909_140842_847,car,0.63,22.74,14.95,11.62,car_20260909_140842_847.jpg
20260909_140844_514,car,0.74,22.83,14.10,11.55,car_20260909_140844_514.jpg
20260909_140933_721,car,0.53,24.17,11.29,12.51,car_20260909_140933_721.jpg
20260909_141006_660,person,0.47,24.49,10.23,13.44,person_20260909_141006_660.jpg
20260909_141010_816,car,0.46,24.93,10.04,13.58,car_20260909_141010_816.jpg
20260909_141019_612,car,0.68,26.94,7.88,14.26,car_20260909_141019_612.jpg
20260909_141022_098,car,0.52,27.67,7.18,14.26,car_20260909_141022_098.jpg
20260909_141033_406,person,0.63,30.86,3.42,13.47,person_20260909_141033_406.jpg
20260909_141035_176,car,0.46,30.03,4.79,13.36,car_20260909_141035_176.jpg
20260909_141040_239,car,0.63,28.24,6.37,13.23,car_20260909_141040_239.jpg
20260909_141042_071,car,0.60,28.06,7.44,13.26,car_20260909_141042_071.jpg
20260909_141043_706,car,0.72,27.90,8.87,13.14,car_20260909_141043_706.jpg
20260909_141046_799,car,0.65,27.55,11.81,13.07,car_20260909_141046_799.jpg
20260909_141048_785,car,0.63,27.26,13.96,13.04,car_20260909_141048_785.jpg
20260909_141052_716,car,0.48,26.93,16.61,12.95,car_20260909_141052_716.jpg
20260909_141055_172,car,0.55,26.83,17.84,12.91,car_20260909_141055_172.jpg
20260909_141058_241,car,0.52,26.77,19.67,12.86,car_20260909_141058_241.jpg
20260909_141059_903,car,0.48,26.77,20.76,12.77,car_20260909_141059_903.jpg
20260909_141101_856,car,0.52,26.81,22.18,12.67,car_20260909_141101_856.jpg
20260909_141103_817,car,0.54,26.87,24.11,12.57,car_20260909_141103_817.jpg
20260909_141107_250,car,0.48,26.95,26.53,12.47,car_20260909_141107_250.jpg
20260909_141110_761,car,0.48,27.07,27.89,12.38,car_20260909_141110_761.jpg
20260909_141112_937,car,0.57,27.13,29.00,12.32,car_20260909_141112_937.jpg
20260909_141117_221,car,0.48,27.20,32.39,12.15,car_20260909_141117_221.jpg
20260909_141118_924,car,0.54,27.17,34.15,12.08,car_20260909_141118_924.jpg
20260909_141120_622,car,0.48,27.08,36.35,12.02,car_20260909_141120_622.jpg
20260909_141122_441,car,0.48,26.92,38.59,11.97,car_20260909_141122_441.jpg
20260909_141124_267,car,0.61,26.76,40.07,11.86,car_20260909_141124_267.jpg
